year,month,day,air_temp,rain,water_temp,water_fowl,date
2010,08,03,31,Yes,22.6,12,2010-08-03
2010,08,03,31,Yes,21.9,30,2010-08-03
2010,08,03,31,Yes,24.3,20,2010-08-03
2010,08,03,31,Yes,21.3,12,2010-08-03
2010,08,03,31,Yes,21.3,30,2010-08-03
2010,08,03,30,Yes,21.3,10,2010-08-03
2010,08,03,30,Yes,21.5,60,2010-08-03
2010,08,03,30,Yes,22,50,2010-08-03
2010,08,03,30,Yes,21.8,85,2010-08-03
2010,06,01,20,Yes,17.3,12,2010-06-01
2010,06,02,22,No,18.1,23,2010-06-02
2010,06,03,17,Yes,17.4,15,2010-06-03
2010,06,04,22,Yes,17.5,30,2010-06-04
2010,06,05,24,Yes,18.8,6,2010-06-05
2010,06,06,12,Yes,13,18,2010-06-06
2010,06,07,20,Yes,14.9,8,2010-06-07
2010,06,08,14,No,14.3,12,2010-06-08
2010,06,09,13,Yes,14.1,20,2010-06-09
2010,06,11,16,No,15.6,72,2010-06-11
2010,06,14,22,No,16.1,6,2010-06-14
2010,06,15,22,No,16.2,10,2010-06-15
2010,06,16,16,Yes,17.5,36,2010-06-16
2010,06,17,25,Yes,8.8,45,2010-06-17
2010,06,18,25,No,16.3,15,2010-06-18
2010,06,19,19,No,17.2,12,2010-06-19
2010,06,20,23,No,17.11,62,2010-06-20
2010,06,21,22,No,16.3,42,2010-06-21
2010,06,22,22,Yes,17.1,17,2010-06-22
2010,06,23,20,Yes,17.5,25,2010-06-23
2010,06,24,20,No,19.3,12,2010-06-24
2010,06,26,24,Yes,18.2,30,2010-06-26
2010,06,27,22,Yes,16.1,3,2010-06-27
2010,06,28,21,No,17.9,60,2010-06-28
2010,06,29,16,Yes,13.5,12,2010-06-29
2010,06,30,20,No,9,8,2010-06-30
2010,07,02,24,No,10.2,7,2010-07-02
2010,07,03,18,No,12.8,53,2010-07-03
2010,07,04,27,No,12.6,12,2010-07-04
2010,07,08,20,No,18.5,10,2010-07-08
2010,07,11,21,No,18,7,2010-07-11
2010,07,12,21,Yes,20.4,15,2010-07-12
2010,07,14,21,No,21.4,10,2010-07-14
2010,07,15,29,No,23.2,7,2010-07-15
2010,07,16,27,No,23.6,140,2010-07-16
2010,07,17,25,No,18.7,50,2010-07-17
2010,07,18,18,No,15.2,10,2010-07-18
2010,07,19,27,Yes,19,5,2010-07-19
2010,07,20,27,Yes,17.4,24,2010-07-20
2010,07,21,29,No,20,40,2010-07-21
2010,07,22,29,No,15.9,130,2010-07-22
2010,07,23,20,Yes,17.5,56,2010-07-23
2010,07,24,26,Yes,18.6,30,2010-07-24
2010,07,25,25,Yes,17.4,30,2010-07-25
2010,07,26,25,No,17.9,25,2010-07-26
2010,07,27,25,No,19,5,2010-07-27
2010,07,28,21,Yes,20.2,100,2010-07-28
2010,07,29,25,Yes,11.1,60,2010-07-29
2010,07,30,23,No,16.3,36,2010-07-30
2010,07,31,14,No,18.9,25,2010-07-31
2010,08,01,18,Yes,18.7,15,2010-08-01
2010,08,02,19,No,19.7,50,2010-08-02
2010,05,25,26,No,14,4,2010-05-25
2010,05,26,31,No,15,12,2010-05-26
2010,05,28,22,No,13.3,3,2010-05-28
2010,05,31,22,No,17.2,3,2010-05-31
2010,06,01,20,Yes,17.4,4,2010-06-01
2010,06,02,22,No,18.2,9,2010-06-02
2010,06,03,17,Yes,17.2,10,2010-06-03
2010,06,04,22,Yes,17.8,10,2010-06-04
2010,06,07,20,Yes,14.9,13,2010-06-07
2010,06,08,14,No,14,2,2010-06-08
2010,06,09,13,Yes,15.4,50,2010-06-09
2010,06,10,16,Yes,15.25,10,2010-06-10
2010,06,14,22,No,16.2,9,2010-06-14
2010,06,15,22,No,16.2,6,2010-06-15
2010,06,16,16,Yes,17.78,4,2010-06-16
2010,06,17,25,Yes,13.7,50,2010-06-17
2010,06,18,25,No,16,10,2010-06-18
2010,06,19,19,No,17.6,6,2010-06-19
2010,06,20,23,No,16.94,12,2010-06-20
2010,06,21,22,No,17.4,15,2010-06-21
2010,06,22,22,Yes,18.4,8,2010-06-22
2010,06,23,20,Yes,17.6,15,2010-06-23
2010,06,24,20,No,19.2,3,2010-06-24
2010,06,26,24,Yes,18.1,25,2010-06-26
2010,06,27,22,Yes,18,75,2010-06-27
2010,06,28,21,No,18.1,3,2010-06-28
2010,08,04,29,No,21.6,50,2010-08-04
2010,08,04,29,No,21.9,65,2010-08-04
2010,08,04,29,No,21.1,80,2010-08-04
2010,08,05,23,No,22,120,2010-08-05
2010,08,05,23,No,23,80,2010-08-05
2010,08,05,23,No,22,75,2010-08-05
2010,08,05,23,No,22,3,2010-08-05
2010,08,05,23,No,23,6,2010-08-05
2010,08,05,22,No,24,45,2010-08-05
2010,08,05,22,No,21,100,2010-08-05
2010,08,05,22,No,21,30,2010-08-05
2010,08,05,22,No,22,70,2010-08-05
2010,08,06,19,No,16.6,115,2010-08-06
2010,08,06,19,No,17.1,65,2010-08-06
2010,08,06,19,No,18.4,24,2010-08-06
2010,08,06,25,No,19.8,1,2010-08-06
2010,08,06,25,No,18,50,2010-08-06
2010,08,06,25,No,19,60,2010-08-06
2010,08,06,25,No,22,55,2010-08-06
2010,06,29,16,Yes,12.8,3,2010-06-29
2010,05,31,22,No,18,16,2010-05-31
2010,06,01,20,Yes,18.7,26,2010-06-01
2010,06,02,22,No,19,8,2010-06-02
2010,06,03,17,Yes,18.3,10,2010-06-03
2010,06,04,22,Yes,18.6,20,2010-06-04
2010,06,05,24,Yes,18.7,28,2010-06-05
2010,06,07,20,Yes,15.9,18,2010-06-07
2010,06,08,14,No,16.2,32,2010-06-08
2010,06,09,13,Yes,15.9,40,2010-06-09
2010,06,10,16,Yes,15.5,60,2010-06-10
2010,06,11,16,No,16.6,15,2010-06-11
2010,06,14,22,No,16.5,130,2010-06-14
2010,06,15,22,No,17.3,60,2010-06-15
2010,06,16,16,Yes,16.83,130,2010-06-16
2010,06,17,25,Yes,14.9,30,2010-06-17
2010,06,18,25,No,18,3,2010-06-18
2010,06,19,19,No,18.6,8,2010-06-19
2010,06,20,23,No,18.56,40,2010-06-20
2010,06,21,22,No,18.4,50,2010-06-21
2010,06,22,22,Yes,18.8,12,2010-06-22
2010,06,23,20,Yes,18.17,60,2010-06-23
2010,06,24,20,No,19.3,82,2010-06-24
2010,06,26,24,Yes,18.9,75,2010-06-26
2010,06,27,22,Yes,18.8,60,2010-06-27
2010,06,29,16,Yes,13.2,105,2010-06-29
2010,07,02,24,No,12.3,40,2010-07-02
2010,07,03,18,No,14.6,27,2010-07-03
2010,07,08,20,No,21.6,30,2010-07-08
2010,07,10,29,Yes,16.2,60,2010-07-10
2010,07,11,21,No,19.5,60,2010-07-11
2010,07,12,21,Yes,21.4,40,2010-07-12
2010,07,14,21,No,22.2,60,2010-07-14
2010,07,15,29,No,24.1,95,2010-07-15
2010,07,16,27,No,23.6,36,2010-07-16
2010,07,17,25,No,21.8,25,2010-07-17
2010,07,18,18,No,18.4,40,2010-07-18
2010,07,19,27,Yes,20,29,2010-07-19
2010,07,20,27,Yes,17.5,9,2010-07-20
2010,07,21,29,No,19.9,20,2010-07-21
2010,07,22,29,No,17.7,36,2010-07-22
2010,07,23,20,Yes,19.3,9,2010-07-23
2010,07,24,26,Yes,18.9,10,2010-07-24
2010,07,25,25,Yes,19.6,2,2010-07-25
2010,07,27,25,No,20,20,2010-07-27
2010,07,30,23,No,17.3,1,2010-07-30
2010,08,02,19,No,19.6,15,2010-08-02
2010,06,30,20,No,11,10,2010-06-30
2010,07,02,24,No,12.1,8,2010-07-02
2010,07,03,18,No,12.8,13,2010-07-03
2010,07,08,20,No,17.5,5,2010-07-08
2010,07,09,21,Yes,18.5,3,2010-07-09
2010,07,10,29,Yes,16.2,60,2010-07-10
2010,07,11,21,No,17,8,2010-07-11
2010,07,12,21,Yes,20.5,10,2010-07-12
2010,07,14,21,No,21.8,5,2010-07-14
2010,07,15,29,No,23.3,12,2010-07-15
2010,07,17,25,No,19.8,20,2010-07-17
2010,07,19,27,Yes,20.5,6,2010-07-19
2010,07,20,27,Yes,16.5,24,2010-07-20
2010,07,22,29,No,16.4,6,2010-07-22
2010,07,24,26,Yes,17.9,4,2010-07-24
2010,07,25,25,Yes,17.4,17,2010-07-25
2010,07,26,25,No,18.2,20,2010-07-26
2010,07,27,25,No,18.8,4,2010-07-27
2010,07,28,21,Yes,19.9,25,2010-07-28
2010,07,29,25,Yes,17.2,5,2010-07-29
2010,08,01,18,Yes,18,25,2010-08-01
2010,05,25,26,No,17,24,2010-05-25
2010,05,26,31,No,15,60,2010-05-26
2010,05,28,22,No,15.6,42,2010-05-28
2010,06,01,20,Yes,17.6,120,2010-06-01
2010,06,03,17,Yes,17.5,20,2010-06-03
2010,06,04,22,Yes,17.9,35,2010-06-04
2010,06,07,20,Yes,15.8,120,2010-06-07
2010,06,09,13,Yes,15.3,3,2010-06-09
2010,06,11,16,No,16.3,24,2010-06-11
2010,06,14,22,No,16.4,130,2010-06-14
2010,06,16,16,Yes,17.38,90,2010-06-16
2010,06,17,25,Yes,15.1,25,2010-06-17
2010,06,18,25,No,16.5,20,2010-06-18
2010,06,20,23,No,17.56,60,2010-06-20
2010,06,22,22,Yes,18.5,22,2010-06-22
2010,06,23,20,Yes,17.5,60,2010-06-23
2010,06,24,20,No,18.7,50,2010-06-24
2010,06,26,24,Yes,19.6,40,2010-06-26
2010,06,27,22,Yes,17.5,25,2010-06-27
2010,06,28,21,No,18.4,80,2010-06-28
2010,06,29,16,Yes,13,130,2010-06-29
2010,07,02,24,No,12.4,30,2010-07-02
2010,07,08,20,No,18.6,80,2010-07-08
2010,07,09,21,Yes,16.3,60,2010-07-09
2010,07,10,29,Yes,17.1,16,2010-07-10
2010,07,11,21,No,17.8,50,2010-07-11
2010,07,12,21,Yes,21.1,5,2010-07-12
2010,07,15,29,No,23.5,120,2010-07-15
2010,07,16,27,No,23.5,80,2010-07-16
2010,07,17,25,No,19.7,30,2010-07-17
2010,07,18,18,No,17.2,50,2010-07-18
2010,07,19,27,Yes,21,50,2010-07-19
2010,07,20,27,Yes,17.7,50,2010-07-20
2010,07,21,29,No,19.8,80,2010-07-21
2010,07,22,29,No,16.1,60,2010-07-22
2010,07,23,20,Yes,18.2,80,2010-07-23
2010,07,24,26,Yes,17.6,15,2010-07-24
2010,07,25,25,Yes,18.2,70,2010-07-25
2010,07,26,25,No,19.2,15,2010-07-26
2010,07,27,25,No,18.7,15,2010-07-27
2010,07,29,25,Yes,18.3,40,2010-07-29
2010,07,30,23,No,16.5,72,2010-07-30
2010,08,01,18,Yes,17.9,50,2010-08-01
2010,05,25,26,No,17,6,2010-05-25
2010,05,26,31,No,16,25,2010-05-26
2010,05,28,22,No,16.5,25,2010-05-28
2010,05,25,26,No,17,60,2010-05-25
2010,05,26,31,No,19,75,2010-05-26
2010,05,27,27,No,17.3,2,2010-05-27
2010,05,28,22,No,16.9,20,2010-05-28
2010,05,31,22,No,17.5,60,2010-05-31
2010,06,03,17,Yes,18.1,30,2010-06-03
2010,06,05,24,Yes,19.5,80,2010-06-05
2010,06,06,12,Yes,13.5,59,2010-06-06
2010,06,07,20,Yes,14.5,40,2010-06-07
2010,06,08,14,No,14.5,85,2010-06-08
2010,06,09,13,Yes,15.1,50,2010-06-09
2010,06,10,16,Yes,15.09,15,2010-06-10
2010,06,11,16,No,17.5,54,2010-06-11
2010,06,15,22,No,16.3,110,2010-06-15
2010,06,16,16,Yes,17.11,73,2010-06-16
2010,06,17,25,Yes,13.7,15,2010-06-17
2010,06,18,25,No,20.7,20,2010-06-18
2010,06,19,19,No,17.4,73,2010-06-19
2010,06,20,23,No,18.39,90,2010-06-20
2010,06,23,20,Yes,19.8,30,2010-06-23
2010,06,24,20,No,19.2,90,2010-06-24
2010,06,26,24,Yes,13.3,125,2010-06-26
2010,06,27,22,Yes,18.4,10,2010-06-27
2010,06,28,21,No,19.1,120,2010-06-28
2010,06,29,16,Yes,12,60,2010-06-29
2010,06,30,20,No,9,45,2010-06-30
2010,07,02,24,No,16,7,2010-07-02
2010,07,03,18,No,13.5,36,2010-07-03
2010,07,04,27,No,15.2,80,2010-07-04
2010,07,08,20,No,21.2,130,2010-07-08
